date,strategy,benchmark
2021-08-11,12788.74635714823,4442.41015625
2021-08-12,12827.075393410998,4460.830078125
2021-08-13,12850.416869508834,4468.0
2021-08-16,12880.675821023613,4479.7099609375
2021-08-17,12796.240592088363,4448.080078125
2021-08-18,12656.185367493996,4400.27001953125
2021-08-19,12675.781545552438,4405.7998046875
2021-08-20,12776.644414029923,4441.669921875
2021-08-23,12889.03337581786,4479.52978515625
2021-08-24,12909.49378344575,4486.22998046875
2021-08-25,12936.582377013654,4496.18994140625
2021-08-26,12860.218142541731,4470.0
2021-08-27,12975.19888332268,4509.3701171875
2021-08-30,13032.258958359103,4528.7900390625
2021-08-31,13012.949340631585,4522.68017578125
2021-09-01,13019.864996617856,4524.08984375
2021-09-02,13059.92340173486,4536.9501953125
2021-09-03,13056.753953503321,4535.43017578125
2021-09-07,13010.067362446305,4520.02978515625
2021-09-08,12994.219211573267,4514.06982421875
2021-09-09,12938.60103534482,4493.27978515625
2021-09-10,12836.586467251625,4458.580078125
2021-09-13,12869.436288044082,4468.72998046875
2021-09-14,12799.986799843093,4443.0498046875
2021-09-15,12906.902004452737,4480.7001953125
2021-09-16,12886.439777394173,4473.75
2021-09-17,12760.91179700459,4432.990234375
2021-09-20,12548.133928429359,4357.72998046875
2021-09-21,12536.282157028525,4354.18994140625
2021-09-22,12658.56973139034,4395.64013671875
2021-09-23,12812.371664430977,4448.97998046875
2021-09-24,12833.477060232279,4455.47998046875
2021-09-27,12796.760949260704,4443.10986328125
2021-09-28,12538.883942890237,4352.6298828125
2021-09-29,12559.986609545529,4359.4599609375
2021-09-30,12406.476695127832,4307.5400390625
2021-10-01,12553.916079106646,4357.0400390625
2021-10-04,12392.020408719278,4300.4599609375
2021-10-05,12520.958911904512,4345.72021484375
2021-10-06,12572.997358284763,4363.5498046875
2021-10-07,12681.699243814826,4399.759765625
2021-10-08,12658.56973139034,4391.33984375
2021-10-11,12566.92682784588,4361.18994140625
2021-10-12,12535.992867551593,4350.64990234375
2021-10-13,12581.092915062167,4363.7998046875
2021-10-14,12792.714535445008,4438.259765625
2021-10-15,12890.141409097427,4471.3701171875
2021-10-18,12928.302148022987,4486.4599609375
2021-10-19,13028.041518060187,4519.6298828125
2021-10-20,13079.212096009642,4536.18994140625
2021-10-21,13113.326421119504,4549.77978515625
2021-10-22,13099.739822572417,4544.89990234375
2021-10-25,13169.989860269317,4566.47998046875
2021-10-26,13181.843451100825,4574.7900390625
2021-10-27,13123.446094520095,4551.68017578125
2021-10-28,13250.07210132055,4596.419921875
2021-10-29,13276.957828368466,4605.3798828125
2021-11-01,13299.796231885348,4613.669921875
2021-11-02,13353.569505411853,4630.64990234375
2021-11-03,13435.097284132406,4660.56982421875
2021-11-04,13498.40801324429,4680.06005859375
2021-11-05,13545.242887901117,4697.52978515625
2021-11-08,13556.808098971029,4701.7001953125
2021-11-09,13511.996431222049,4685.25
2021-11-10,13403.294545691984,4646.7099609375
2021-11-11,13407.63115869995,4649.27001953125
2021-11-12,13508.816066406473,4682.85009765625
2021-11-15,13513.442878606706,4682.7998046875
2021-11-16,13566.925043225605,4700.89990234375
2021-11-17,13533.969695454143,4688.669921875
2021-11-18,13579.934882249503,4704.5400390625
2021-11-19,13555.651850778635,4697.9599609375
2021-11-22,13517.489292422402,4682.93994140625
2021-11-23,13535.414323408128,4690.7001953125
2021-11-24,13571.550035995166,4701.4599609375
2021-11-26,13268.862271591055,4594.6201171875
2021-11-29,13431.627629839892,4655.27001953125
2021-11-30,13170.279149746246,4567.0
2021-12-01,13023.994194529148,4513.0400390625
2021-12-02,13023.994194529148,4577.10009765625
2021-12-03,12910.666441584555,4538.43017578125
2021-12-06,12910.666441584555,4591.669921875
2021-12-07,13177.721357101436,4686.75
2021-12-08,13212.614667265876,4701.2099609375
2021-12-09,13123.410701288325,4667.4501953125
2021-12-10,13246.947452996004,4712.02001953125
2021-12-13,13129.60126419556,4668.97021484375
2021-12-14,13039.2691653123,4634.08984375
2021-12-15,13243.00695736774,4709.85009765625
2021-12-16,13126.225720524788,4668.669921875
2021-12-17,12986.523196190235,4620.64013671875
2021-12-20,12848.43229029241,4568.02001953125
2021-12-21,13076.608239280173,4649.22998046875
2021-12-22,13207.355655235257,4696.56005859375
2021-12-23,13289.534027434234,4725.7900390625
2021-12-27,13477.6090134958,4791.18994140625
2021-12-28,13466.59510683864,4786.35009765625
2021-12-29,13483.820828514288,4793.06005859375
2021-12-30,13446.546396384812,4778.72998046875
2021-12-31,13412.658133981739,4766.18017578125
2022-01-03,13490.317776025428,4796.56005859375
2022-01-04,13485.798160365504,4793.5400390625
2022-01-05,13226.842955750137,4700.580078125
2022-01-06,13214.416669199252,4696.0498046875
2022-01-07,13162.173666710187,4677.02978515625
2022-01-10,13145.79448746614,4670.2900390625
2022-01-11,13265.530653277972,4713.06982421875
2022-01-12,13301.395362027626,4726.35009765625
2022-01-13,13118.119811090824,4659.02978515625
2022-01-14,13123.486854686984,4662.85009765625
2022-01-18,12891.074651522678,4577.10986328125
2022-01-19,12757.219114296762,4532.759765625
2022-01-20,12616.020087128103,4482.72998046875
2022-01-21,12368.359494139368,4397.93994140625
2022-01-24,12420.884972607178,4410.1298828125
2022-01-25,12269.238761748125,4356.4501953125
2022-01-26,12269.238761748125,4349.93017578125
2022-01-27,12269.238761748125,4326.509765625
2022-01-28,12269.238761748125,4431.85009765625
2022-01-31,12490.221349407628,4515.5498046875
2022-02-01,12574.615401555438,4546.5400390625
2022-02-02,12696.766405685332,4589.3798828125
2022-02-03,12398.329530736366,4477.43994140625
2022-02-04,12456.62895275449,4500.52978515625
2022-02-07,12416.652181355852,4483.8701171875
2022-02-08,12518.815235045135,4521.5400390625
2022-02-09,12702.042611757392,4587.18017578125
2022-02-10,12473.841693665698,4504.080078125
2022-02-11,12227.873515067367,4418.64013671875
2022-02-14,12187.89587315131,4401.669921875
2022-02-15,12384.449130502253,4471.06982421875
2022-02-16,12398.32953073637,4475.009765625
2022-02-17,12133.483311405707,4380.259765625
2022-02-18,12054.91824389055,4348.8701171875
2022-02-22,11925.549779845885,4304.759765625
2022-02-23,11714.007083069966,4225.5
2022-02-24,11714.007083069966,4288.7001953125
2022-02-25,11714.007083069966,4384.64990234375
2022-02-28,11684.037040922001,4373.93994140625
2022-03-01,11684.037040922001,4306.259765625
2022-03-02,11684.037040922001,4386.5400390625
2022-03-03,11684.037040922001,4363.490234375
2022-03-04,11684.037040922001,4328.8701171875
2022-03-07,11684.037040922001,4201.08984375
2022-03-08,11684.037040922001,4170.7001953125
2022-03-09,11684.037040922001,4277.8798828125
2022-03-10,11684.037040922001,4259.52001953125
2022-03-11,11684.037040922001,4204.31005859375
2022-03-14,11684.037040922001,4173.10986328125
2022-03-15,11684.037040922001,4262.4501953125
2022-03-16,11943.121655376208,4357.85986328125
2022-03-17,12092.541338554729,4411.669921875
2022-03-18,12224.98811628123,4463.1201171875
2022-03-21,12221.41351561925,4461.18017578125
2022-03-22,12364.420753791104,4511.60986328125
2022-03-23,12205.185963407715,4456.240234375
2022-03-24,12389.1712956522,4520.16015625
2022-03-25,12449.675581363977,4543.06005859375
2022-03-28,12538.229908056785,4575.52001953125
2022-03-29,12693.339035001778,4631.60009765625
2022-03-30,12614.95916690314,4602.4501953125
2022-03-31,12420.799376064488,4530.41015625
2022-04-01,12456.002057138754,4545.85986328125
2022-04-04,12562.70706776047,4582.64013671875
2022-04-05,12404.023340153495,4525.1201171875
2022-04-06,12279.991230844375,4481.14990234375
2022-04-07,12341.870164574071,4500.2099609375
2022-04-08,12308.868295836186,4488.27978515625
2022-04-11,12098.48181247832,4412.52978515625
2022-04-12,12053.653156509343,4397.4501953125
2022-04-13,12191.711146001298,4446.58984375
2022-04-14,12039.902377868557,4392.58984375
2022-04-18,12044.853345933096,4391.68994140625
2022-04-19,12239.288238313795,4462.2099609375
2022-04-20,12230.21246650318,4459.4501953125
2022-04-21,12047.327540426888,4393.66015625
2022-04-22,11716.759509656249,4271.77978515625
2022-04-25,11784.688957926355,4296.1201171875
2022-04-26,11443.393686400495,4175.2001953125
2022-04-27,11443.393686400495,4183.9599609375
2022-04-28,11443.393686400495,4287.5
2022-04-29,11020.494503986423,4131.93017578125
2022-05-02,11020.494503986423,4155.3798828125
2022-05-03,11020.494503986423,4175.47998046875
2022-05-04,11356.10103041193,4300.169921875
2022-05-05,10952.473522055598,4146.8701171875
2022-05-06,10952.473522055598,4123.33984375
2022-05-09,10952.473522055598,3991.239990234375
2022-05-10,10952.473522055598,4001.050048828125
2022-05-11,10952.473522055598,3935.179931640625
2022-05-12,10952.473522055598,3930.080078125
2022-05-13,10952.473522055598,4023.889892578125
2022-05-16,10908.034717722196,4008.010009765625
2022-05-17,11132.415651512243,4088.85009765625
2022-05-18,10683.65037487194,3923.679931640625
2022-05-19,10683.65037487194,3900.7900390625
2022-05-20,10688.315267537482,3901.360107421875
2022-05-23,10888.294242510454,3973.75
2022-05-24,10805.175973911504,3941.47998046875
2022-05-25,10900.638200216423,3978.72998046875
2022-05-26,11118.44752687958,4057.840087890625
2022-05-27,11391.396056352845,4158.240234375
2022-05-31,11327.47930918162,4132.14990234375
2022-06-01,11235.857044155431,4101.22998046875
2022-06-02,11449.826409539857,4176.81982421875
2022-06-03,11261.916129304906,4108.5400390625
2022-06-06,11296.207377981807,4121.43017578125
2022-06-07,11404.562372894523,4160.68017578125
2022-06-08,11280.570554864868,4115.77001953125
2022-06-09,11012.286918057143,4017.820068359375
2022-06-10,10692.978445168956,3900.860107421875
2022-06-13,10286.986147854002,3749.6298828125
2022-06-14,10286.986147854002,3735.47998046875
2022-06-15,10286.986147854002,3789.989990234375
2022-06-16,9946.526784887701,3666.77001953125
2022-06-17,9946.526784887701,3674.840087890625
2022-06-21,9946.526784887701,3764.7900390625
2022-06-22,9946.526784887701,3759.889892578125
2022-06-23,10044.029219922062,3795.72998046875
2022-06-24,10363.36662575472,3911.739990234375
2022-06-27,10323.782180155114,3900.110107421875
2022-06-28,10112.837686660907,3821.550048828125
2022-06-29,10104.601608153029,3818.830078125
2022-06-30,10022.508743700422,3785.3798828125
