,time,open,high,low,close,tick_volume,spread,real_volume
3777,2022-02-10,1.14209,1.1495,1.13747,1.14112,100993,2,0
3778,2022-02-11,1.14112,1.14181,1.1329500000000001,1.1347,104417,2,0
3779,2022-02-13,1.13321,1.1367099999999999,1.13321,1.13645,6884,2,0
3780,2022-02-14,1.13645,1.1369,1.1280000000000001,1.13057,102242,1,0
3781,2022-02-15,1.13058,1.13683,1.13032,1.13551,83729,2,0
3782,2022-02-16,1.13552,1.13959,1.13449,1.13728,75663,2,0
3783,2022-02-17,1.13728,1.1386,1.13232,1.13638,100804,2,0
3784,2022-02-18,1.13635,1.1377,1.13141,1.13228,73350,2,0
3785,2022-02-20,1.13158,1.13247,1.13131,1.13165,3221,2,0
3786,2022-02-21,1.13165,1.13904,1.12962,1.13093,57409,0,0
3787,2022-02-22,1.13091,1.13669,1.1288,1.13289,98922,2,0
3788,2022-02-23,1.13288,1.1359,1.13002,1.13053,63405,2,0
3789,2022-02-24,1.13057,1.13062,1.11064,1.11905,186987,1,0
3790,2022-02-25,1.11907,1.1274,1.1166,1.12717,117815,2,0
3791,2022-02-27,1.11254,1.11882,1.11246,1.11803,13708,2,0
3792,2022-02-28,1.11803,1.12465,1.11422,1.12144,135594,2,0
3793,2022-03-01,1.12144,1.12331,1.10895,1.11322,121061,0,0
3794,2022-03-02,1.11321,1.11436,1.10573,1.11124,141633,0,0
3795,2022-03-03,1.11124,1.11153,1.10335,1.10657,97351,2,0
3796,2022-03-04,1.10654,1.10666,1.08851,1.09268,135084,2,0
3797,2022-03-06,1.09265,1.09281,1.08635,1.08737,7023,2,0
3798,2022-03-07,1.08737,1.09322,1.08059,1.08661,169772,2,0
3799,2022-03-08,1.08661,1.09582,1.08491,1.08978,172587,2,0
3800,2022-03-09,1.08979,1.10951,1.08966,1.10734,128616,0,0
3801,2022-03-10,1.10734,1.11213,1.09762,1.10134,136870,2,0
3802,2022-03-11,1.10133,1.10436,1.09019,1.09121,122342,2,0
3803,2022-03-13,1.09209,1.09388,1.09083,1.09316,4515,2,0
